City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,alice springs,-23.7,133.8833,24.75,20,0,3.6,AU,1691553800
301,nizhniy kuranakh,58.8353,125.4869,25.88,50,42,3.06,RU,1691553801
302,gillette,44.2911,-105.5022,16.08,83,40,2.57,US,1691553801
303,lilongwe,-13.9669,33.7873,13.58,61,1,2.29,MW,1691553801
304,guymon,36.6828,-101.4816,26.0,65,0,3.09,US,1691553801
305,aswan,24.0934,32.907,31.61,35,0,3.09,EG,1691553657
306,kodinsk,58.6881,99.1844,26.1,41,2,0.15,RU,1691553802
307,inderbor,48.55,51.7833,29.68,31,0,2.89,KZ,1691553802
308,warren,39.4334,-84.1666,20.96,87,0,2.06,US,1691553802
309,klaksvik,62.2266,-6.589,8.51,84,97,15.39,FO,1691553803
310,kayenta,36.7278,-110.2546,25.51,9,1,10.19,US,1691553803
311,batticaloa,7.7102,81.6924,29.52,65,100,2.3,LK,1691553803
312,mitu,1.1983,-70.1733,22.11,95,58,0.37,CO,1691553803
313,madalena,41.2162,-8.3345,20.3,93,1,1.23,PT,1691553804
314,sao joao da barra,-21.6403,-41.0511,21.34,86,32,6.01,BR,1691553716
315,luganville,-15.5333,167.1667,21.71,94,100,4.97,VU,1691553804
316,kristiansund,63.1115,7.732,13.03,94,75,2.06,NO,1691553805
317,katiola,8.1333,-5.1,22.08,97,100,3.65,CI,1691553805
318,mbanza kongo,-6.267,14.2401,18.04,86,24,1.79,AO,1691553805
319,malango,-2.9627,119.9001,27.47,59,76,1.93,ID,1691553805
320,kalkaman,51.9525,76.0211,26.42,31,41,1.66,KZ,1691553688
321,kaihua,23.3687,104.28,22.35,89,100,1.56,CN,1691553806
322,mar del plata,-38.0023,-57.5575,8.38,89,0,4.63,AR,1691553625
323,guerrero negro,27.9769,-114.0611,22.81,84,12,6.89,MX,1691553806
324,najran,17.4924,44.1277,25.36,15,54,0.73,SA,1691553807
325,heidelberg,-26.5048,28.3592,10.52,42,77,2.31,ZA,1691553807
326,la sierpe,2.8518,-77.6155,24.87,93,97,1.24,CO,1691553807
327,aginskoye,51.1,114.53,27.77,27,49,4.12,RU,1691553807
328,sovetskaya gavan',48.9723,140.2878,18.9,73,92,1.54,RU,1691553808
329,aitape,-3.1374,142.3475,29.35,70,40,2.93,PG,1691553808
330,nar'yan-mar,67.6713,53.087,16.06,54,23,1.99,RU,1691553808
331,thunder bay,48.4001,-89.3168,16.99,100,100,1.54,CA,1691553652
332,huarmey,-10.0681,-78.1522,19.35,84,87,3.48,PE,1691553809
333,ust'-barguzin,53.45,108.9833,19.39,70,100,0.52,RU,1691553809
334,atbara,17.7022,33.9864,31.82,41,29,6.67,SD,1691553809
335,khandyga,62.6667,135.6,23.96,32,15,1.04,RU,1691553704
336,sandnessjoen,66.0217,12.6316,18.06,52,20,7.2,NO,1691553810
337,tres valles,18.2406,-96.135,25.18,90,53,2.24,MX,1691553810
338,chelbasskaya,45.9792,39.3719,26.11,41,0,1.26,RU,1691553810
339,thinadhoo,0.5333,72.9333,27.26,75,17,0.87,MV,1691553811
340,bahia de kino,28.8333,-111.9333,36.07,45,7,7.56,MX,1691553811
341,newport,51.5877,-2.9984,16.01,91,39,0.85,GB,1691553811
342,port macquarie,-31.4333,152.9167,19.94,58,1,3.46,AU,1691553796
343,sarupathar,26.1984,93.8094,27.73,90,98,0.73,IN,1691553812
344,ubari,26.5921,12.7805,25.15,34,0,3.03,LY,1691553812
345,tadine,-21.55,167.8833,20.11,56,5,6.21,NC,1691553812
346,skidel',53.5904,24.2478,11.08,82,0,3.0,BY,1691553812
347,east ballina,-28.8667,153.5833,19.89,60,9,4.62,AU,1691553813
348,taltal,-25.4,-70.4833,16.34,72,19,2.12,CL,1691553681
349,nabire,-3.3667,135.4833,30.13,61,96,2.26,ID,1691553813
350,majene,-3.5403,118.9707,30.08,62,29,4.84,ID,1691553813
351,de aar,-30.6497,24.0123,8.0,79,1,5.92,ZA,1691553813
352,kozhevnikovo,56.2589,83.9714,21.25,47,44,0.96,RU,1691553814
353,san-pedro,4.7485,-6.6363,23.2,93,100,4.51,CI,1691553814
354,coahuayana de hidalgo,18.7,-103.6583,27.94,90,49,0.76,MX,1691553814
355,medicine hat,50.0501,-110.6683,26.24,34,100,5.66,CA,1691553608
356,boende,-0.2167,20.8667,21.66,96,90,0.36,CD,1691553815
357,lloydminster,53.2835,-110.0016,15.12,77,100,4.12,CA,1691553795
358,saldanha,-33.0117,17.9442,9.03,80,0,3.94,ZA,1691553816
359,dhidhdhoo,6.8833,73.1,28.07,76,100,5.83,MV,1691553816
360,kushnarenkovo,55.105,55.3508,21.13,59,5,4.96,RU,1691553816
361,northam,51.0333,-4.2167,15.7,97,100,1.88,GB,1691553817
362,fale old settlement,-9.3852,-171.2468,28.16,79,25,5.46,TK,1691553817
363,zahedan,29.4963,60.8629,27.95,20,0,2.06,IR,1691553817
364,sattahip,12.6664,100.9007,33.61,74,20,5.14,TH,1691553817
